Question,Response,Emotion,Dialogue Act,Conversation Type
What's been bothering you lately?,"I'm really sorry, something came up.",fear,commissive,school life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",sadness,question,ordinary life
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",surprise,question,finance
Do you think we'll finish this task on time?,"Sure, let's go over the details.",fear,inform,culture & education
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,sadness,question,health
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",surprise,directive,work
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",surprise,inform,ordinary life
Why didn't you call me back last night?,"If we push hard, we definitely can.",happiness,question,tourism
What are your plans for the weekend?,It's challenging but rewarding.,fear,commissive,health
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,sadness,question,relationship
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",surprise,directive,culture & education
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,directive,health
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",fear,inform,health
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",disgust,directive,work
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",surprise,commissive,health
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",sadness,question,tourism
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",anger,directive,ordinary life
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",fear,directive,health
Can we talk about that project now?,"If we push hard, we definitely can.",disgust,question,health
"I heard you got a new job, how is it going?",It's challenging but rewarding.,anger,question,work
Have you ever been to Paris?,I've just had a lot on my mind recently.,anger,inform,tourism
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,question,ordinary life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",fear,question,relationship
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",anger,inform,politics
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,inform,school life
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,surprise,inform,tourism
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,fear,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",happiness,commissive,culture & education
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",sadness,commissive,health
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,inform,health
Have you ever been to Paris?,"If we push hard, we definitely can.",fear,inform,culture & education
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",disgust,question,relationship
Why do you seem so distant these days?,"Sure, let's go over the details.",anger,commissive,tourism
What's been bothering you lately?,I'd say start with something like Spanish.,disgust,directive,work
Why do you seem so distant these days?,"Sure, let's go over the details.",anger,inform,school life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,commissive,work
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,directive,ordinary life
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",disgust,commissive,politics
Why didn't you call me back last night?,"Sure, let's go over the details.",anger,inform,finance
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",fear,question,culture & education
Do you think we'll finish this task on time?,It's challenging but rewarding.,anger,commissive,attitude & emotion
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",disgust,inform,work
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",fear,directive,finance
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,commissive,relationship
Why didn't you call me back last night?,I've just had a lot on my mind recently.,anger,directive,work
What's been bothering you lately?,It's challenging but rewarding.,fear,inform,culture & education
Why do you seem so distant these days?,"I'm really sorry, something came up.",surprise,directive,relationship
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",anger,commissive,finance
What's been bothering you lately?,I'd say start with something like Spanish.,anger,commissive,attitude & emotion
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",anger,directive,politics
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",sadness,inform,relationship
Have you ever been to Paris?,I've just had a lot on my mind recently.,disgust,inform,ordinary life
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",surprise,commissive,politics
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",fear,directive,relationship
Why didn't you call me back last night?,It's challenging but rewarding.,anger,directive,attitude & emotion
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",fear,inform,health
Why didn't you call me back last night?,"If we push hard, we definitely can.",anger,directive,health
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,inform,relationship
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",anger,inform,politics
What's been bothering you lately?,"Sure, let's go over the details.",anger,question,attitude & emotion
Why do you seem so distant these days?,It's challenging but rewarding.,sadness,directive,finance
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",anger,question,finance
Do you think we'll finish this task on time?,It's challenging but rewarding.,fear,inform,work
Do you think we'll finish this task on time?,It's challenging but rewarding.,fear,commissive,politics
Why didn't you call me back last night?,"If we push hard, we definitely can.",happiness,question,work
Have you ever been to Paris?,"If we push hard, we definitely can.",anger,commissive,tourism
Have you ever been to Paris?,"I'm really sorry, something came up.",anger,inform,politics
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",sadness,question,work
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",disgust,question,work
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",surprise,commissive,politics
What are your plans for the weekend?,"I'm really sorry, something came up.",surprise,commissive,school life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",anger,directive,relationship
Have you ever been to Paris?,I've just had a lot on my mind recently.,anger,inform,work
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",disgust,question,ordinary life
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,commissive,finance
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,surprise,inform,work
Have you ever been to Paris?,It's challenging but rewarding.,sadness,commissive,ordinary life
What's been bothering you lately?,"Sure, let's go over the details.",fear,question,politics
What's been bothering you lately?,It's challenging but rewarding.,anger,commissive,tourism
Why do you seem so distant these days?,"Sure, let's go over the details.",anger,commissive,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",surprise,directive,tourism
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,fear,directive,work
Can we talk about that project now?,"I'm thinking of a road trip, actually.",anger,commissive,finance
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,commissive,relationship
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",happiness,question,school life
Have you ever been to Paris?,"I'm really sorry, something came up.",happiness,commissive,school life
Have you ever been to Paris?,"If we push hard, we definitely can.",disgust,commissive,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,anger,inform,attitude & emotion
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,health
Have you ever been to Paris?,"Sure, let's go over the details.",anger,question,school life
Can we talk about that project now?,"If we push hard, we definitely can.",happiness,commissive,relationship
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,question,tourism
What's been bothering you lately?,"If we push hard, we definitely can.",sadness,directive,health
Have you ever been to Paris?,I've just had a lot on my mind recently.,surprise,commissive,attitude & emotion
Why didn't you call me back last night?,"If we push hard, we definitely can.",sadness,question,attitude & emotion
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,anger,commissive,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,commissive,tourism
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",happiness,question,ordinary life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,happiness,commissive,school life
What's been bothering you lately?,"Sure, let's go over the details.",surprise,inform,attitude & emotion
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",surprise,directive,attitude & emotion
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,inform,finance
What are your plans for the weekend?,"Sure, let's go over the details.",surprise,directive,relationship
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",fear,inform,ordinary life
Why didn't you call me back last night?,"Sure, let's go over the details.",sadness,commissive,culture & education
What are your plans for the weekend?,It's challenging but rewarding.,anger,question,relationship
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,directive,school life
Have you ever been to Paris?,"If we push hard, we definitely can.",anger,commissive,work
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",sadness,inform,attitude & emotion
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",anger,commissive,ordinary life
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",anger,question,work
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",sadness,inform,attitude & emotion
"I heard you got a new job, how is it going?","Sure, let's go over the details.",sadness,question,school life
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",disgust,question,politics
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",sadness,question,ordinary life
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",happiness,directive,tourism
Can we talk about that project now?,It's challenging but rewarding.,disgust,question,culture & education
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,commissive,health
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",disgust,inform,ordinary life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",happiness,commissive,school life
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",disgust,inform,attitude & emotion
Do you think we'll finish this task on time?,It's challenging but rewarding.,disgust,directive,culture & education
What's been bothering you lately?,It's challenging but rewarding.,anger,commissive,work
Why do you seem so distant these days?,"If we push hard, we definitely can.",fear,directive,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",surprise,directive,work
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",disgust,inform,work
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",disgust,inform,health
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,school life
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",surprise,question,politics
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,commissive,health
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",anger,question,attitude & emotion
Have you ever been to Paris?,It's challenging but rewarding.,happiness,commissive,relationship
What's been bothering you lately?,"If we push hard, we definitely can.",fear,directive,health
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",disgust,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",happiness,commissive,health
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",surprise,inform,attitude & emotion
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,happiness,directive,finance
What's been bothering you lately?,I'd say start with something like Spanish.,fear,directive,attitude & emotion
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",sadness,directive,politics
"I heard you got a new job, how is it going?",It's challenging but rewarding.,surprise,directive,attitude & emotion
Can we talk about that project now?,"I'm thinking of a road trip, actually.",sadness,question,tourism
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",disgust,question,relationship
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",disgust,directive,school life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",anger,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,question,work
Have you ever been to Paris?,"Sure, let's go over the details.",disgust,inform,attitude & emotion
What are your plans for the weekend?,"Sure, let's go over the details.",anger,commissive,school life
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",surprise,inform,relationship
Why didn't you call me back last night?,"Sure, let's go over the details.",sadness,question,politics
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,commissive,work
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",happiness,commissive,ordinary life
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,fear,question,finance
Can we talk about that project now?,"Sure, let's go over the details.",disgust,commissive,school life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,fear,directive,attitude & emotion
Why didn't you call me back last night?,I've just had a lot on my mind recently.,disgust,inform,relationship
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,fear,directive,culture & education
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,anger,commissive,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,surprise,question,attitude & emotion
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",fear,inform,politics
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,question,attitude & emotion
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",happiness,question,finance
Have you ever been to Paris?,I've just had a lot on my mind recently.,happiness,commissive,culture & education
"I heard you got a new job, how is it going?",It's challenging but rewarding.,sadness,inform,culture & education
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,question,politics
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",disgust,directive,politics
Why didn't you call me back last night?,I've just had a lot on my mind recently.,sadness,question,finance
Why didn't you call me back last night?,I'd say start with something like Spanish.,anger,question,relationship
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",sadness,inform,attitude & emotion
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",disgust,directive,attitude & emotion
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",disgust,directive,school life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",sadness,inform,culture & education
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",anger,directive,culture & education
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",sadness,question,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,sadness,directive,culture & education
Have you ever been to Paris?,"If we push hard, we definitely can.",anger,inform,finance
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",anger,directive,attitude & emotion
Have you ever been to Paris?,"Sure, let's go over the details.",anger,directive,tourism
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",disgust,question,school life
Have you ever been to Paris?,"I'm really sorry, something came up.",disgust,commissive,finance
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,school life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,anger,question,ordinary life
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,disgust,directive,tourism
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,anger,directive,school life
What's been bothering you lately?,"I'm really sorry, something came up.",surprise,commissive,ordinary life
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,inform,health
What's been bothering you lately?,"I'm thinking of a road trip, actually.",sadness,inform,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",fear,inform,politics
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",anger,commissive,finance
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",anger,inform,tourism
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",disgust,question,attitude & emotion
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",sadness,directive,tourism
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,ordinary life
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",surprise,inform,relationship
Can we talk about that project now?,"Sure, let's go over the details.",fear,directive,ordinary life
What's been bothering you lately?,It's challenging but rewarding.,anger,inform,finance
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,surprise,question,politics
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,inform,school life
Why didn't you call me back last night?,I'd say start with something like Spanish.,surprise,directive,ordinary life
What's been bothering you lately?,"I'm thinking of a road trip, actually.",anger,directive,school life
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",happiness,question,finance
What's been bothering you lately?,"If we push hard, we definitely can.",disgust,inform,ordinary life
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",disgust,question,ordinary life
Have you ever been to Paris?,"I'm really sorry, something came up.",happiness,commissive,finance
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,disgust,directive,relationship
What's been bothering you lately?,"I'm thinking of a road trip, actually.",disgust,question,work
Have you ever been to Paris?,"Sure, let's go over the details.",disgust,directive,ordinary life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,anger,commissive,finance
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",anger,commissive,culture & education
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",sadness,directive,school life
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",anger,question,tourism
Why do you seem so distant these days?,"I'm really sorry, something came up.",happiness,commissive,politics
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,relationship
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,anger,question,attitude & emotion
What are your plans for the weekend?,I'd say start with something like Spanish.,anger,commissive,attitude & emotion
Can we talk about that project now?,"Sure, let's go over the details.",anger,question,school life
Why do you seem so distant these days?,"Sure, let's go over the details.",sadness,commissive,culture & education
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",sadness,question,attitude & emotion
What are your plans for the weekend?,I'd say start with something like Spanish.,surprise,commissive,ordinary life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",fear,inform,culture & education
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",fear,question,ordinary life
Why didn't you call me back last night?,I'd say start with something like Spanish.,surprise,inform,relationship
Do you think we'll finish this task on time?,It's challenging but rewarding.,happiness,inform,ordinary life
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",fear,inform,relationship
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,inform,relationship
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,inform,health
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,school life
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,commissive,school life
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",anger,directive,health
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",surprise,directive,ordinary life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,anger,question,tourism
Have you ever been to Paris?,"Sure, let's go over the details.",anger,directive,work
Do you think we'll finish this task on time?,It's challenging but rewarding.,sadness,commissive,tourism
Do you think we'll finish this task on time?,It's challenging but rewarding.,sadness,inform,school life
"I heard you got a new job, how is it going?","Sure, let's go over the details.",sadness,question,finance
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",sadness,question,attitude & emotion
What's been bothering you lately?,I'd say start with something like Spanish.,sadness,commissive,tourism
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,happiness,question,health
What's been bothering you lately?,I'd say start with something like Spanish.,sadness,inform,school life
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",happiness,question,relationship
Have you ever been to Paris?,"I'm really sorry, something came up.",sadness,inform,ordinary life
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,disgust,directive,work
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",happiness,commissive,finance
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",anger,inform,work
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",anger,commissive,politics
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",surprise,inform,politics
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,anger,question,culture & education
What are your plans for the weekend?,I've just had a lot on my mind recently.,fear,commissive,relationship
What are your plans for the weekend?,I've just had a lot on my mind recently.,surprise,question,ordinary life
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",disgust,inform,attitude & emotion
Why do you seem so distant these days?,"I'm really sorry, something came up.",sadness,commissive,school life
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",surprise,inform,relationship
Can we talk about that project now?,I'd say start with something like Spanish.,anger,question,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",sadness,question,culture & education
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",happiness,inform,finance
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,happiness,inform,politics
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",anger,directive,attitude & emotion
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,fear,commissive,health
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,surprise,question,work
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",anger,directive,attitude & emotion
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,sadness,inform,finance
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",disgust,question,school life
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",disgust,directive,finance
Can we talk about that project now?,"Sure, let's go over the details.",surprise,inform,school life
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",disgust,question,health
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",anger,question,work
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",surprise,question,tourism
What's been bothering you lately?,"Sure, let's go over the details.",surprise,directive,politics
What's been bothering you lately?,It's challenging but rewarding.,anger,question,politics
Can we talk about that project now?,"I'm thinking of a road trip, actually.",surprise,directive,attitude & emotion
Do you think we'll finish this task on time?,It's challenging but rewarding.,anger,directive,tourism
Can we talk about that project now?,"Sure, let's go over the details.",disgust,commissive,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",happiness,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,commissive,health
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,inform,relationship
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,sadness,question,attitude & emotion
What are your plans for the weekend?,It's challenging but rewarding.,happiness,inform,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",fear,directive,politics
Can we talk about that project now?,It's challenging but rewarding.,anger,inform,tourism
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,anger,question,work
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",anger,directive,attitude & emotion
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,commissive,tourism
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",disgust,commissive,culture & education
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,inform,school life
Do you think we'll finish this task on time?,It's challenging but rewarding.,sadness,commissive,work
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",surprise,question,health
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",fear,inform,school life
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",sadness,question,school life
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",happiness,directive,health
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,inform,health
What's been bothering you lately?,I'd say start with something like Spanish.,sadness,commissive,work
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",happiness,directive,culture & education
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",fear,commissive,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",happiness,question,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",disgust,directive,politics
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,relationship
Why didn't you call me back last night?,"If we push hard, we definitely can.",surprise,question,relationship
What's been bothering you lately?,I'd say start with something like Spanish.,surprise,question,health
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,question,politics
Why didn't you call me back last night?,"I'm really sorry, something came up.",sadness,question,relationship
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",happiness,question,relationship
Can we talk about that project now?,I've just had a lot on my mind recently.,anger,inform,culture & education
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",sadness,directive,ordinary life
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",fear,question,relationship
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",anger,inform,ordinary life
What's been bothering you lately?,I'd say start with something like Spanish.,happiness,question,attitude & emotion
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",sadness,commissive,finance
Why do you seem so distant these days?,It's challenging but rewarding.,happiness,commissive,culture & education
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",surprise,inform,politics
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,inform,school life
Can we talk about that project now?,"I'm thinking of a road trip, actually.",disgust,directive,school life
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",disgust,question,finance
Have you ever been to Paris?,I've just had a lot on my mind recently.,fear,directive,relationship
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,finance
Why didn't you call me back last night?,It's challenging but rewarding.,surprise,commissive,school life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",sadness,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",happiness,commissive,tourism
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",surprise,directive,relationship
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",happiness,inform,school life
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",disgust,directive,relationship
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",anger,inform,finance
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,anger,directive,finance
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",anger,directive,health
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",surprise,inform,politics
Why do you seem so distant these days?,I'd say start with something like Spanish.,surprise,directive,ordinary life
Why do you seem so distant these days?,It's challenging but rewarding.,surprise,commissive,relationship
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",surprise,directive,ordinary life
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",surprise,question,work
What's been bothering you lately?,I've just had a lot on my mind recently.,sadness,directive,ordinary life
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",disgust,question,ordinary life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,fear,inform,politics
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",disgust,commissive,ordinary life
Can we talk about that project now?,"I'm really sorry, something came up.",sadness,directive,relationship
"I heard you got a new job, how is it going?",It's challenging but rewarding.,fear,inform,school life
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,culture & education
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",surprise,inform,health
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",surprise,commissive,school life
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",happiness,question,politics
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",anger,inform,tourism
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",disgust,question,relationship
Can we talk about that project now?,I've just had a lot on my mind recently.,sadness,commissive,tourism
Can we talk about that project now?,"If we push hard, we definitely can.",happiness,commissive,health
